paid_services,debt_firms,inflation,fm_changes_volume,fm_changes_costs,fm_changes_demand,fm_demand_exp,fm_price_exp,Date,Brent,MIACR,Infl_exp,M2,obligates
10224654.3,314366,100.5,-23.902439024390198,19.6261682242991,-21.495327102803703,23.3644859813084,14.018691588784998,2014-01-31,108.12,6.056470588235294,13.037735849056604,31155.6,6.2005
10418260.8,335519,100.35,2.9126213592232997,17.674418604651198,-6.51162790697674,26.046511627906998,15.8139534883721,2014-02-28,108.9,5.9935,11.795154185022026,29861.2,6.3854999999999995
10913285.3,347002,100.66,12.1951219512195,19.534883720930203,3.25581395348837,34.4186046511628,16.2790697674419,2014-03-31,107.48,7.845000000000001,11.522132796780683,30169.0,7.402380952380952
11041072.4,347903,100.63,2.9411764705882404,20.0,0.0,32.093023255813996,22.7906976744186,2014-04-30,107.76,7.874545454545455,12.67274472168906,29519.3,7.497727272727272
10446104.9,352768,100.73,10.243902439024401,16.3551401869159,0.0,28.971962616822395,17.4528301886792,2014-05-31,109.54,8.214736842105264,11.720956719817767,29879.0,7.954999999999999
10191264.0,359992,101.09,3.8647342995169103,18.1395348837209,0.465116279069767,28.8372093023256,17.2093023255814,2014-06-30,111.8,8.233157894736843,11.348780487804879,29890.8,7.882380952380952
10319263.1,363137,100.63,3.25581395348837,9.63302752293578,0.45662100456621,39.9082568807339,9.58904109589041,2014-07-31,106.77,8.172173913043478,11.830396475770925,30073.1,8.527391304347827
10348828.4,363337,100.49,3.68663594470046,10.5504587155963,-5.0228310502283104,26.940639269406397,9.1743119266055,2014-08-31,101.61,7.877142857142856,12.459183673469388,30178.3,8.588095238095239
10539999.1,364772,100.44,2.8846153846153797,19.718309859154896,-8.45070422535211,19.811320754717,15.492957746478899,2014-09-30,97.09,7.949090909090909,13.817269076305221,30338.7,8.715454545454547
10952725.7,375391,100.74,3.34928229665072,23.8317757009346,-9.34579439252336,12.093023255813998,15.8139534883721,2014-10-31,87.43,8.240434782608697,13.146153846153846,30297.6,9.170434782608694
11257781.0,380788,101.02,-34.6153846153846,37.962962962963,-18.055555555555596,-21.296296296296298,44.44444444444439,2014-11-30,79.44,10.211111111111112,15.462264150943396,29831.2,10.4095
12058267.6,380843,102.45,-10.047846889952199,43.4579439252336,-10.232558139534898,-23.2558139534884,44.1860465116279,2014-12-31,62.34,15.468695652173912,16.57123287671233,30141.9,14.746521739130435
11015800.0,373809,103.41,-53.3980582524272,49.7674418604651,-30.555555555555596,-20.465116279069797,49.5327102803738,2015-01-31,47.76,16.964666666666666,18.072327044025158,31615.7,14.117272727272727
11073436.1,376421,101.93,-14.2156862745098,49.0654205607477,-21.226415094339597,13.5514018691589,49.5283018867925,2015-02-28,58.1,15.116315789473683,15.659763313609467,31033.7,13.0695
11364753.0,379665,101.34,10.243902439024401,40.9302325581395,-21.395348837209298,17.2093023255814,42.7906976744186,2015-03-31,55.89,14.902857142857142,13.967980295566502,31225.0,12.032727272727273
11404370.8,381359,99.94,12.560386473429999,39.5348837209302,-17.674418604651198,28.8372093023256,33.4883720930233,2015-04-30,59.52,14.357727272727272,14.32905982905983,31028.8,10.783181818181818
10684169.5,366791,100.58,15.1219512195122,38.8888888888889,-19.4444444444444,21.860465116279098,31.0185185185185,2015-05-31,64.08,12.828333333333333,14.994845360824742,31696.9,10.567142857142857
10625344.0,365276,100.95,-11.8226600985222,38.967136150234694,-22.897196261682197,19.1588785046729,33.177570093457895,2015-06-30,61.48,12.503333333333334,13.9452,31820.4,10.290909090909091
10688445.0,368906,99.9,17.224880382775098,40.74074074074069,-7.906976744186049,30.0925925925926,33.7962962962963,2015-07-31,56.56,11.524347826086956,14.76112759644,31936.3,10.371739130434783
10812845.9,370724,101.12,8.45070422535211,44.392523364485996,-3.27102803738318,20.465116279069797,25.3521126760563,2015-08-31,46.52,10.858095238095238,16.007082152974505,32072.5,10.981904761904762
10613846.1,395949,100.37,1.93236714975845,50.0,-17.5355450236967,15.1658767772512,33.0188679245283,2015-09-30,47.62,11.146363636363636,15.260416666666666,32361.0,10.541818181818181
11250991.2,408145,100.31,-4.36893203883495,41.23222748815169,-12.857142857142899,17.5355450236967,34.7619047619048,2015-10-31,48.43,11.14090909090909,15.84010152284264,32052.5,10.296363636363637
12045336.1,407270,100.19,-14.354066985645899,43.19248826291079,-18.7793427230047,8.8785046728972,29.4392523364486,2015-11-30,44.27,11.425,16.443444730077122,32161.0,10.528571428571428
12887288.1,401889,100.66,-3.41463414634146,45.67307692307689,-14.6341463414634,-2.4154589371980704,35.2657004830918,2015-12-31,38.01,11.066521739130435,16.714285714285715,32745.0,10.305652173913044
11544654.8,401293,101.2,-59.09090909090909,43.6893203883495,-29.126213592233,18.3574879227053,38.349514563106794,2016-01-31,30.7,11.017333333333333,15.74,35179.7,9.90047619047619
11840849.5,409406,100.72,18.905472636815897,44.49760765550239,-14.7619047619048,28.0952380952381,30.952380952381,2016-02-29,32.18,10.8425,14.74,33966.5,9.507619047619048
12272150.6,401260,100.44,11.055276381909499,39.130434782608695,-11.004784688995198,30.622009569377997,25.837320574162696,2016-03-31,38.21,10.94047619047619,14.5987,34309.6,9.694347826086956
11816483.9,390796,100.41,-8.3743842364532,35.0710900473934,-7.1090047393364895,28.436018957345997,25.118483412322295,2016-04-30,41.58,10.732857142857142,13.6,34689.4,9.577142857142857
11100651.8,390960,100.31,3.0,34.1346153846154,-7.21153846153846,25.4807692307692,24.0384615384615,2016-05-31,46.74,11.063157894736841,14.1881,35105.5,9.728181818181817
10956647.6,395027,100.5,0.0,45.3658536585366,-8.82352941176471,26.829268292682897,27.317073170731696,2016-06-30,48.25,10.639047619047618,14.2875,35642.9,9.532272727272726
10738769.3,396706,100.14,9.54773869346734,30.2439024390244,-3.39805825242718,27.536231884057997,21.3592233009709,2016-07-31,44.95,10.37904761904762,12.5623,35856.9,9.191428571428572
10805290.2,397909,100.56,6.09137055837563,42.7184466019417,-1.9417475728155298,16.504854368932,25.120772946859898,2016-08-31,45.84,10.339565217391305,14.2065,36031.7,9.01695652173913
10931358.0,403591,100.23,4.0,48.039215686274495,-4.85436893203883,15.5339805825243,27.0531400966184,2016-09-30,46.57,10.238636363636363,12.3462,36169.6,9.001363636363637
11386692.4,397655,100.22,-1.5075376884422098,36.4077669902913,-4.36893203883495,13.1067961165049,24.757281553398098,2016-10-31,49.52,10.323333333333332,13.677378,36148.8,8.895714285714286
11924071.0,394121,100.25,-2.08333333333333,40.5940594059406,-9.359605911330052,17.7339901477833,26.600985221674897,2016-11-30,44.73,10.017142857142856,12.3526,36051.0,8.530909090909091
12708856.8,370998,100.16,4.14507772020725,39.5,-0.497512437810945,13.4328358208955,24.378109452736297,2016-12-31,53.31,10.160454545454545,11.4855,36433.0,8.514090909090909
11738063.4,380311,100.16,-41.3612565445026,41.6243654822335,-14.1414141414141,26.262626262626295,25.888324873096398,2017-01-31,54.58,10.114117647058823,12.8791,38418.0,8.956363636363635
11631485.5,388218,99.88,2.1164021164021203,43.6548223350254,-11.6161616161616,29.292929292929298,26.530612244898,2017-02-28,54.87,10.14111111111111,11.162068965517241,38016.8,8.928
63176820.0,383906,100.22,28.042328042328,44.8979591836735,1.01522842639594,29.0816326530612,26.395939086294398,2017-03-31,51.59,9.897727272727273,10.959,38462.3,8.403478260869566
