paid_services,salary,debt_firms,debt_fiz,inflation,fm_changes_volume,fm_changes_costs,fm_changes_demand,fm_demand_exp,fm_price_exp,Date,Brent,MIACR,Infl_exp,M2,gov_debt,obligates
356884.9,27807.4,16139,31999,100.61,-34.5588235294118,16.6666666666667,-16.7883211678832,10.144927536231899,11.5942028985507,2014-01-31,108.12,6.056470588235294,13.037735849056604,31155.6,5722.239,6.2005
386033.2,26182.6,16005,33089,100.65,-8.270676691729319,12.6865671641791,-13.4328358208955,26.865671641791,24.6268656716418,2014-02-28,108.9,5.9935,11.795154185022026,29861.2,5733.566,6.3854999999999995
394369.2,27992.2,14727,34677,100.94,4.51127819548872,15.671641791044799,-8.2089552238806,16.4179104477612,15.037593984962399,2014-03-31,107.48,7.845000000000001,11.522132796780683,30169.0,5754.951,7.402380952380952
404718.4,27501.4,14569,34028,100.58,3.1007751937984502,16.9230769230769,-10.769230769230802,29.2307692307692,15.3846153846154,2014-04-30,107.76,7.874545454545455,12.67274472168906,29519.3,5707.239,7.497727272727272
405046.5,28604.2,14289,34260,100.99,-3.93700787401575,16.030534351145,-5.343511450381679,32.824427480916,7.63358778625954,2014-05-31,109.54,8.214736842105264,11.720956719817767,29879.0,5714.967,7.954999999999999
440462.5,31257.8,14891,34583,100.79,2.36220472440945,14.7286821705426,-7.69230769230769,28.461538461538495,16.153846153846196,2014-06-30,111.8,8.233157894736843,11.348780487804879,29890.8,5739.107,7.882380952380952
421870.4,27621.2,15226,35015,100.53,8.52713178294574,9.16030534351145,4.58015267175573,22.137404580152698,15.267175572519099,2014-07-31,106.77,8.172173913043478,11.830396475770925,30073.1,5757.204,8.527391304347827
429424.4,26629.6,15256,35478,100.7,2.34375,20.155038759689898,4.651162790697669,20.9302325581395,24.031007751938,2014-08-31,101.61,7.877142857142856,12.459183673469388,30178.3,5791.262,8.588095238095239
454462.0,28146.5,14835,34751,100.5,2.41935483870968,27.559055118110198,-3.1496062992126,1.5748031496063,17.3228346456693,2014-09-30,97.09,7.949090909090909,13.817269076305221,30338.7,5742.744,8.715454545454547
455378.1,29282.4,14740,34983,100.09,-7.8740157480315,21.09375,3.90625,6.25,14.84375,2014-10-31,87.43,8.240434782608697,13.146153846153846,30297.6,5739.132,9.170434782608694
459098.6,28974.9,15686,35102,100.83,-7.936507936507939,26.984126984127002,-7.8740157480315,-7.8740157480315,20.4724409448819,2014-11-30,79.44,10.211111111111112,15.462264150943396,29831.2,5753.841,10.4095
516335.2,37545.5,15577,35004,103.06,8.0,38.8888888888889,-3.17460317460317,-10.317460317460299,23.8095238095238,2014-12-31,62.34,15.468695652173912,16.57123287671233,30141.9,5759.2,14.746521739130435
371501.0,28476.4,14452,34432,102.3,-42.2764227642276,40.0,-29.6,8.8,33.6,2015-01-31,47.76,16.964666666666666,18.072327044025158,31615.7,7241.169,14.117272727272727
417808.6,28629.0,14287,33922,101.92,-13.114754098360699,42.741935483871,-21.7741935483871,18.5483870967742,30.645161290322598,2015-02-28,58.1,15.116315789473683,15.659763313609467,31033.7,7240.896,13.0695
425758.8,29668.2,14090,33455,101.33,-11.4754098360656,45.5284552845528,-16.260162601625996,17.886178861788597,17.886178861788597,2015-03-31,55.89,14.902857142857142,13.967980295566502,31225.0,7159.78,12.032727272727273
435835.1,29918.8,12941,33123,101.09,7.438016528925619,31.1475409836066,-15.5737704918033,25.409836065573796,6.55737704918033,2015-04-30,59.52,14.357727272727272,14.32905982905983,31028.8,6986.477,10.783181818181818
434838.2,30570.1,12611,32783,100.03,5.88235294117647,26.4462809917355,-7.438016528925619,20.6611570247934,9.917355371900829,2015-05-31,64.08,12.828333333333333,14.994845360824742,31696.9,7100.311,10.567142857142857
467115.8,32884.7,12418,32643,100.27,-4.2016806722689095,26.4462809917355,-5.785123966942149,14.876033057851199,11.570247933884302,2015-06-30,61.48,12.503333333333334,13.9452,31820.4,7160.382,10.290909090909091
442747.9,28395.7,12708,32711,99.52,-1.6949152542372898,17.5,-7.5,8.33333333333333,14.1666666666667,2015-07-31,56.56,11.524347826086956,14.76112759644,31936.3,7041.289,10.371739130434783
466496.0,28162.2,13009,33044,101.01,-7.75862068965517,29.6610169491525,-8.47457627118644,5.9322033898305095,20.3389830508475,2015-08-31,46.52,10.858095238095238,16.007082152974505,32072.5,7171.129,10.981904761904762
466736.6,29171.8,13324,33070,100.7,-6.89655172413793,38.135593220339004,-7.627118644067799,5.9322033898305095,19.4915254237288,2015-09-30,47.62,11.146363636363636,15.260416666666666,32361.0,6955.448,10.541818181818181
497971.2,30472.7,13285,32978,100.82,-6.83760683760684,31.355932203389802,-17.796610169491498,0.0,16.1016949152542,2015-10-31,48.43,11.14090909090909,15.84010152284264,32052.5,6979.189,10.296363636363637
498125.3,28917.9,13622,32846,100.36,-22.413793103448295,24.7863247863248,-23.076923076923094,-8.54700854700855,18.8034188034188,2015-11-30,44.27,11.425,16.443444730077122,32161.0,7119.134,10.528571428571428
550654.6,36908.0,14134,32990,100.31,0.884955752212389,33.043478260869605,-18.2608695652174,-12.173913043478299,20.869565217391298,2015-12-31,38.01,11.066521739130435,16.714285714285715,32745.0,7160.043,10.305652173913044
401070.1,29311.5,12753,32788,100.48,-38.0530973451327,28.695652173913,-33.043478260869605,9.56521739130435,17.3913043478261,2016-01-31,30.7,11.017333333333333,15.74,35179.7,7307.611000000001,9.90047619047619
428482.9,29225.5,12872,32653,100.32,-7.14285714285714,29.8245614035088,-26.315789473684198,14.035087719298199,28.947368421052598,2016-02-29,32.18,10.8425,14.74,33966.5,7272.7919999999995,9.507619047619048
452440.9,30118.1,13082,32652,100.58,1.81818181818182,29.729729729729698,-28.828828828828797,25.2252252252252,22.522522522522497,2016-03-31,38.21,10.94047619047619,14.5987,34309.6,7239.115,9.694347826086956
441998.1,31304.7,13198,32628,100.44,1.8518518518518499,25.0,-18.5185185185185,23.1481481481481,18.5185185185185,2016-04-30,41.58,10.732857142857142,13.6,34689.4,7265.907,9.577142857142857
433315.8,33399.0,14637,32629,100.42,9.803921568627448,15.5339805825243,-8.7378640776699,28.1553398058252,14.5631067961165,2016-05-31,46.74,11.063157894736841,14.1881,35105.5,7299.487,9.728181818181817
470761.4,36252.5,14307,32758,100.14,14.0,15.0,-1.0,19.0,15.0,2016-06-30,48.25,10.639047619047618,14.2875,35642.9,7261.743,9.532272727272726
448618.7,30270.9,14194,34393,100.53,8.0,33.0,-4.0,19.0,9.0,2016-07-31,44.95,10.37904761904762,12.5623,35856.9,7363.156,9.191428571428572
479303.7,30759.1,14160,34731,100.12,-1.0309278350515498,37.1134020618557,2.06185567010309,25.773195876288696,15.4639175257732,2016-08-31,45.84,10.339565217391305,14.2065,36031.7,7431.191,9.01695652173913
505134.5,31613.1,14045,34920,100.39,11.5789473684211,18.9473684210526,6.31578947368421,12.6315789473684,11.5789473684211,2016-09-30,46.57,10.238636363636363,12.3462,36169.6,7345.051,9.001363636363637
532552.6,32898.1,13787,35014,100.37,-11.827956989247298,16.1290322580645,-15.0537634408602,7.526881720430109,8.60215053763441,2016-10-31,49.52,10.323333333333332,13.677378,36148.8,7383.563,8.895714285714286
538270.1,32282.7,12312,35113,100.49,-26.881720430107496,21.505376344085995,-26.881720430107496,-1.0752688172043,7.526881720430109,2016-11-30,44.73,10.017142857142856,12.3526,36051.0,7422.921,8.530909090909091
567077.4,40449.0,11546,35201,100.23,-10.989010989011,19.7802197802198,-16.4835164835165,-7.69230769230769,12.087912087912098,2016-12-31,53.31,10.160454545454545,11.4855,36433.0,7602.353,8.514090909090909
462280.2,31815.623773256553,11012,35030,100.36,-53.9325842696629,21.111111111111097,-26.6666666666667,10.0,8.888888888888891,2017-01-31,54.58,10.114117647058823,12.8791,38418.0,8003.455,8.956363636363635
460211.7,31994.5680664057,10737,39617,100.19,-18.8235294117647,32.954545454545496,-19.3181818181818,14.7727272727273,11.3636363636364,2017-02-28,54.87,10.14111111111111,11.162068965517241,38016.8,8073.9,8.928
12348696.4,32466.46252558512,11657,35441,100.02,-1.16279069767442,26.4367816091954,-23.8636363636364,19.3181818181818,6.81818181818182,2017-03-31,51.59,9.897727272727273,10.959,38462.3,8164.026,8.403478260869566
12765420.7,33544.05658899352,11519,35760,100.09,-1.13636363636364,16.8539325842697,-11.2359550561798,26.966292134831498,8.988764044943819,2017-04-30,52.31,9.5765,10.2704,38555.2,8308.139,8.2005
13300702.9,34701.32392359949,11699,35755,100.12,2.27272727272727,24.719101123595497,-7.86516853932584,19.101123595505598,13.4831460674157,2017-05-31,50.33,9.1345,10.3398,38663.8,8318.296,8.04
