inflation,fm_changes_volume,fm_changes_costs,fm_changes_demand,fm_demand_exp,fm_price_exp,Date,Brent,MIACR,Infl_exp,M2
100.44,-25.6,14.6,-11.7,22.222222222222197,11.7,2014-01-31,108.12,6.056470588235294,13.037735849056604,31155.6
100.61,-5.5,16.4,-7.0,30.8641975308642,11.7,2014-02-28,108.9,5.9935,11.795154185022026,29861.2
100.78,4.9,21.4,-1.8,28.3950617283951,15.5,2014-03-31,107.48,7.845000000000001,11.522132796780683,30169.0
100.74,0.6,14.5,1.8,28.3950617283951,11.4,2014-04-30,107.76,7.874545454545455,12.67274472168906,29519.3
100.44,-7.5,18.3,5.5,24.691358024691397,9.1,2014-05-31,109.54,8.214736842105264,11.720956719817767,29879.0
100.98,2.5,10.9,6.1,22.222222222222197,10.3,2014-06-30,111.8,8.233157894736843,11.348780487804879,29890.8
100.93,3.7,15.6,2.4,22.222222222222197,7.8,2014-07-31,106.77,8.172173913043478,11.830396475770925,30073.1
100.75,-11.3,16.8,-7.2,27.1604938271605,4.2,2014-08-31,101.61,7.877142857142856,12.459183673469388,30178.3
101.03,-8.0,26.6,-4.7,32.0987654320988,14.7,2014-09-30,97.09,7.949090909090909,13.817269076305221,30338.7
101.06,-18.3,26.9,-10.5,16.0493827160494,12.9,2014-10-31,87.43,8.240434782608697,13.146153846153846,30297.6
101.18,-20.1,27.0,-23.4,7.40740740740741,18.4,2014-11-30,79.44,10.211111111111112,15.462264150943396,29831.2
103.26,-5.2,34.1,-14.7,2.5641025641025603,23.2,2014-12-31,62.34,15.468695652173912,16.57123287671233,30141.9
103.87,-40.1,30.4,-27.1,6.5789473684210495,18.8,2015-01-31,47.76,16.964666666666666,18.072327044025158,31615.7
102.51,-18.0,27.1,-17.1,18.1818181818182,17.7,2015-02-28,58.1,15.116315789473683,15.659763313609467,31033.7
100.84,-4.1,27.6,-6.1,16.883116883116898,12.2,2015-03-31,55.89,14.902857142857142,13.967980295566502,31225.0
100.7,-16.0,26.2,-16.6,16.883116883116898,8.6,2015-04-30,59.52,14.357727272727272,14.32905982905983,31028.8
100.28,-15.8,25.8,-9.8,12.987012987013,8.8,2015-05-31,64.08,12.828333333333333,14.994845360824742,31696.9
100.58,-1.7,24.9,-6.7,20.779220779220797,11.9,2015-06-30,61.48,12.503333333333334,13.9452,31820.4
100.51,-4.3,27.8,-5.7,12.987012987013,9.8,2015-07-31,56.56,11.524347826086956,14.76112759644,31936.3
101.23,-22.2,29.5,-16.1,9.09090909090909,12.4,2015-08-31,46.52,10.858095238095238,16.007082152974505,32072.5
101.02,-9.6,33.5,-12.9,2.5974025974026,16.5,2015-09-30,47.62,11.146363636363636,15.260416666666666,32361.0
100.52,-5.9,28.4,-16.5,-5.714285714285709,16.0,2015-10-31,48.43,11.14090909090909,15.84010152284264,32052.5
100.64,-22.4,30.1,-22.9,-8.57142857142857,23.2,2015-11-30,44.27,11.425,16.443444730077122,32161.0
101.14,0.0,33.3,-11.5,-18.840579710144898,19.8,2015-12-31,38.01,11.066521739130435,16.714285714285715,32745.0
100.98,-38.2,29.3,-27.5,-14.492753623188399,13.5,2016-01-31,30.7,11.017333333333333,15.74,35179.7
100.55,-0.6,30.0,-9.4,-7.2463768115941996,13.7,2016-02-29,32.18,10.8425,14.74,33966.5
100.26,2.3,28.6,-7.4,2.7027027027027,11.6,2016-03-31,38.21,10.94047619047619,14.5987,34309.6
100.26,-6.3,21.6,-3.7,13.8888888888889,12.1,2016-04-30,41.58,10.732857142857142,13.6,34689.4
100.48,-8.1,18.5,-2.7,10.6666666666667,13.8,2016-05-31,46.74,11.063157894736841,14.1881,35105.5
100.63,0.6,24.3,-0.5,14.8648648648649,13.2,2016-06-30,48.25,10.639047619047618,14.2875,35642.9
100.14,-1.7,19.5,0.0,22.972972972972997,9.6,2016-07-31,44.95,10.37904761904762,12.5623,35856.9
100.43,-7.0,15.8,-1.1,14.6666666666667,11.6,2016-08-31,45.84,10.339565217391305,14.2065,36031.7
100.24,-3.5,21.4,1.1,0.0,12.2,2016-09-30,46.57,10.238636363636363,12.3462,36169.6
100.45,-15.6,25.4,-6.9,-2.66666666666667,14.3,2016-10-31,49.52,10.323333333333332,13.677378,36148.8
100.41,-16.7,21.2,-14.4,-2.7397260273972597,16.4,2016-11-30,44.73,10.017142857142856,12.3526,36051.0
100.32,1.2,20.9,-3.2,0.0,14.8,2016-12-31,53.31,10.160454545454545,11.4855,36433.0
100.34,-31.4,18.0,-15.4,7.14285714285714,6.9,2017-01-31,54.58,10.114117647058823,12.8791,38418.0
100.15,-8.7,15.9,-4.2,24.2857142857143,5.8,2017-02-28,54.87,10.14111111111111,11.162068965517241,38016.8
100.1,12.7,21.3,-1.6,32.0,4.8,2017-03-31,51.59,9.897727272727273,10.959,38462.3
100.16,-15.2,18.1,-9.6,24.0,12.8,2017-04-30,52.31,9.5765,10.2704,38555.2
100.14,-8.8,14.6,-2.2,31.25,9.1,2017-05-31,50.33,9.1345,10.3398,38663.8
100.02,6.4,17.1,2.1,30.8641975308642,7.5,2017-06-30,46.37,9.109047619047619,10.6924,39222.9
100.2,-8.2,14.4,0.5,36.144578313253,6.4,2017-07-31,48.48,8.947619047619048,9.527,39623.1
100.04,-0.6,16.8,1.0,25.3012048192771,9.9,2017-08-31,51.7,8.536521739130436,9.5559,39275.9
99.87,-10.4,20.5,-9.2,22.352941176470598,7.7,2017-09-30,56.15,8.373809523809523,9.85,39419.3
99.99,-3.8,16.6,-6.0,-7.2289156626506,6.5,2017-10-31,57.51,8.043181818181818,8.6866,39571.0
100.15,-11.9,25.0,-12.7,-6.02409638554217,10.6,2017-11-30,62.71,8.014285714285714,8.7425,39667.5
99.89,0.5,22.8,-6.6,-6.02409638554217,8.1,2017-12-31,64.37,7.729523809523809,8.8793,40114.4
99.97,-20.9,15.0,-18.8,24.096385542168697,3.1,2018-01-31,69.08,7.087647058823529,8.4402,42442.2
100.0,-3.4,18.6,-8.6,42.8571428571429,6.9,2018-02-28,65.32,7.145263157894736,8.4687,41597.5
100.17,4.0,23.0,-8.0,37.647058823529406,6.4,2018-03-31,66.02,7.1465000000000005,7.8145,42045.5
100.03,-5.8,20.8,-6.6,39.5348837209302,7.7,2018-04-30,72.11,7.002857142857143,8.5564,42377.0
100.25,-12.9,21.7,-4.4,39.08045977011489,12.2,2018-05-31,76.98,6.9455,9.8368,43122.0
100.2,-0.6,25.0,-1.7,34.482758620689694,11.7,2018-06-30,74.41,7.0215000000000005,9.6818,43257.4
