unemp,fm_ibk,Brent,MIACR,obligates,M2,trade_turnover,money_income,debt_firms,1,2,3,4,5,6,inflation
0.005825192375696231,0.2,0.7800000000000011,5.9935,0.1849999999999996,-0.002003117923385034,15.611902439549919,-0.031547151931345496,0.009853374683471472,-0.49040523596322777,-0.02009719128561141,-0.27807884824455564,-0.6057175923313423,-0.2052195122791754,-0.12274268103946469,1.0041
-0.01456170493620923,12.2,-1.4200000000000017,7.845000000000001,1.0168809523809523,0.0006388241348922463,15.603165848640208,0.018263138787251165,0.003954764952901257,0.44363880914951936,-0.9351431024296091,-0.28580759034982794,-0.3584932956480443,0.07018317550824534,-0.4056603049855096,1.0051999999999999
-0.0027668554357995756,9.1,0.28000000000000114,7.874545454545455,0.09534632034632029,-0.007959808892380238,15.61232847457755,-0.03867607111647331,0.0068260499657739615,-0.06093268946779925,-0.4007282166750274,-0.4235938980805979,0.10742963799470195,0.44028805556876327,0.05891592033125956,1.0076
-0.0048905835375355755,9.0,1.7800000000000011,8.214736842105264,0.45727272727272705,-0.010711820375123082,15.616920786732374,0.023598127785383838,-0.0009127722559849616,-0.18200162009105095,-0.3095428111918389,-0.5467761137901513,-0.1688780788854403,-0.42959835155125425,-0.3652580303196408,1.006
0.01915869722639052,11.8,2.259999999999991,8.233157894736843,-0.07261904761904692,-0.008792251532957707,15.608038020075394,0.0025782351390724045,0.02425916791856686,-0.7619374187594354,0.2949325786976402,-0.34967173689357955,-0.7660311717973438,-0.04621700698153105,-0.33812334082331696,1.008
0.11393890164434317,13.5,-5.030000000000001,8.172173913043478,0.6450103519668744,-0.0058658162786340284,15.583865894668389,-0.005340282895964776,-0.052867315113582336,0.24122234531894013,-0.8355274915341648,-0.29295760621452216,-0.42429931480495264,-0.2186876985993798,-0.3714848408252829,1.0066
0.04994248397213996,8.2,-5.159999999999997,7.877142857142856,0.06070393374741201,-0.010532491941077637,15.586198450962705,-0.013927750808335304,-0.012255695499520769,0.10410954734220007,0.25728560313105786,-0.2254059256698249,0.09931115949077265,-0.41855073824656297,-0.18759937511953106,1.0090000000000001
-0.04504474227531452,6.3,-4.519999999999996,7.949090909090909,0.127359307359308,-0.008444553617383832,15.577031568571048,0.0016262772142248139,-0.010700372718536855,-0.13114700373788413,-0.19884103668172615,-0.4180711997341489,0.018132011733303904,-0.3479181614013385,-0.06375442153180509,1.0062
-0.037711936823931924,4.2,-9.659999999999997,8.240434782608697,0.4549802371541478,-0.0004197816527806708,15.565181199455967,-0.04869473883316999,-0.0055512106717792165,1.2925230186426269,-0.025771115612316292,-0.379857302922253,0.001563240907507953,-0.26416428060602,-0.2532189372182033,1.0106
0.007172154471467129,-2.4,-7.990000000000009,10.211111111111112,1.239065217391305,-0.011625819806649673,15.54078895792506,0.05255409733123706,-0.004208252060788453,0.5219610596269947,-0.08765514940312852,0.4523085062778668,-0.46350899561892744,0.27012457518268074,-0.571940911578897,1.0118
-0.02518746542308614,-2.8,-17.099999999999994,15.468695652173912,4.337021739130437,-0.008921102394568337,15.57412532739832,-0.054160795590627586,-0.007163610041455826,-0.264690959746394,1.6347549182321648,-0.023571382504743724,-1.5803006822569756,-0.5639737642686535,-1.371357878145948,1.0261
-0.005407230047818512,1.8,-14.580000000000005,16.964666666666666,-0.6292490118577092,-0.014392965887463305,15.578946906754826,0.00452536144413429,0.027552231508092717,-0.4325916949510394,-0.7457140668754673,-0.12650897987043,1.9973911074951178,-0.008127871819938372,0.16465442603185768,1.0363
0.04431358641009597,3.9,10.340000000000003,15.116315789473685,-1.0477727272727275,-0.014511615832658364,15.515370939340135,0.030086255315465493,-0.03209552674217875,0.5987993481994572,-0.24443153852039423,0.061520491364277695,0.2257703077537974,0.3379121790117798,-0.3173634267134988,1.0222
0.012848407090371161,9.4,-2.210000000000001,14.902857142857142,-1.0367727272727283,-0.01961866230750431,15.51650427889498,-0.058185760295188516,-0.021544978668428527,-0.3407240111016682,0.8608759570498635,-0.9219402112207576,0.5431231773355623,-0.2856531680471338,-0.5687288333584042,1.0197
0.005269155639978873,7.2,3.6300000000000026,14.357727272727272,-1.2495454545454532,-0.012118463998218587,15.475610041766213,0.04942252286554272,-0.024109805734017442,0.38167806413100264,0.5213396876979034,-0.21913692453178532,-0.25710559976744646,-1.4207326711341115,-0.9962344903565504,1.0077
-0.0060476001079717845,8.9,4.559999999999995,12.828333333333331,-0.21603896103896147,0.0026522488138649436,15.443702981107558,-0.08381123681759917,-0.019012716910030036,0.36400363073302294,0.8862803628862377,-0.011708283997302848,-0.611204246128228,0.058023028051439336,-0.06927276052892048,1.0063
-0.09201887522463914,12.9,-2.6000000000000014,12.503333333333334,-0.27623376623376394,-0.005537395431915115,15.440776977935304,0.020438121659736908,-0.021004187253124584,0.26925540187426944,-0.8338502667575619,-0.49952599745745463,0.9047524362751264,-0.24536245925466119,-0.26801635433313736,1.0043
0.008591231784383702,9.6,-4.919999999999995,11.524347826086956,0.08083003952569179,-0.004418143764389981,15.457370737036188,-0.026752210570123225,0.060979953598396364,-0.10195550820973034,0.17140433678386852,-0.8013321107483441,0.32522504114001927,-0.19947719647767137,-0.4246509759732006,1.0015
0.011497934461681458,4.7,-10.04,10.858095238095238,0.610165631469977,0.0005547140841350995,15.438480337025148,0.013919944389948924,-0.010851034680889882,-1.0619559418786766,0.7734096723532994,0.25587228955772273,-0.8254129279884238,-0.5367722728884823,0.024080853695068002,1.0057
0.052946575796824824,8.1,1.0999999999999943,11.146363636363636,-0.4400865800865823,0.0006365312712528493,15.431204240144169,-0.006029220267620872,-0.005799651716383636,-1.1416726804526725,0.18867004396286882,-0.5622871937629348,1.315658894527565,-0.4233166072014698,0.49123995029495027,1.0075
0.0053084722930840655,6.0,0.8100000000000023,11.14090909090909,-0.24545454545454248,-0.009293841590423568,15.434643724997228,0.08874011231154633,-0.013362475321599732,-0.42800727442779496,-0.7180626469644424,0.6295780148027791,0.03783743793577147,0.642860074430263,-0.5765367224664862,1.0108
